branch,ncust,customer,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
3,3017,10012,28,2,7,2,44,17.7,2.99,4.8,0
3,3017,10017,64,5,34,17,116,14.7,5.05,12,0
3,3017,10030,40,1,20,12,61,4.8,1.04,1.89,0
3,3017,10039,30,1,11,3,27,34.5,1.75,7.56,0
3,3017,10069,25,1,2,2,30,22.4,0.76,5.96,1
3,3017,10071,35,1,2,9,38,10.9,1.46,2.68,1
3,3017,10096,26,3,2,4,38,11.9,0.95,3.57,1
3,3017,10128,25,1,4,2,30,14.4,1.05,3.27,0
3,3017,10129,65,4,29,14,189,5,3.36,6.09,0
3,3017,10140,21,3,0,0,23,3.9,0.31,0.59,0
3,3017,10142,62,1,33,13,96,17.5,6.69,10.11,0
3,3017,10169,30,4,4,3,39,10.6,2.39,1.74,1
3,3017,10197,38,5,7,7,124,19.1,9.52,14.16,0
3,3017,10200,18,2,0,0,35,3.9,0.17,1.19,0
3,3017,10218,53,1,9,13,41,13.3,2.33,3.12,0
3,3017,10234,18,2,0,0,15,7.4,0.83,0.28,1
3,3017,10351,18,2,0,0,56,15.7,1.84,6.95,1
3,3017,10423,19,1,2,0,31,0.3,0.02,0.07,1
3,3017,10428,19,2,0,0,26,5.8,0.59,0.92,1
3,3017,10449,56,2,27,21,125,8.5,2.9,7.72,0
3,3017,10455,21,2,1,1,40,7.6,1.52,1.52,1
3,3017,10474,25,1,8,3,37,8.3,0.95,2.12,0
3,3017,10525,47,3,8,10,43,6.1,0.36,2.26,0
3,3017,10564,40,4,17,11,103,13.3,10.41,3.29,1
3,3017,10567,41,2,16,11,56,3.4,0.9,1.01,0
3,3017,10746,23,4,0,2,118,6.4,0.29,7.26,0
3,3017,10775,45,5,1,4,58,15.4,2.37,6.57,1
3,3017,10776,37,3,15,10,65,5,1.3,1.95,0
3,3017,10797,47,2,23,14,46,11.7,0.84,4.54,0
3,3017,10798,23,4,0,2,42,6.7,1.58,1.23,0
3,3017,10800,18,2,0,0,19,5.2,0.32,0.67,1
3,3017,10802,19,2,0,0,21,2,0.28,0.14,1
3,3017,10805,41,1,3,12,23,10.6,0.15,2.29,1
3,3017,10824,42,2,3,12,76,5.2,0.72,3.23,1
3,3017,10839,29,4,2,3,45,3,0.67,0.68,0
3,3017,10870,24,4,0,2,41,8.4,0.79,2.66,0
3,3017,10884,45,5,9,11,48,10.2,3.53,1.37,0
3,3017,10887,39,4,8,9,259,7.2,1.55,17.1,0
3,3017,10893,40,2,15,6,46,10.6,0.82,4.06,0
3,3017,10927,21,3,0,0,17,17.6,1.37,1.62,1
3,3017,10935,55,3,34,16,150,9.9,0.73,14.12,0
3,3017,11045,29,2,6,4,35,3.3,0.2,0.96,1
3,3017,11057,22,3,0,0,24,5.2,0.28,0.97,1
3,3017,11080,58,4,24,18,70,6.8,2.3,2.46,0
3,3017,11199,53,2,14,19,67,6.1,1.06,3.02,0
3,3017,11267,31,3,5,7,25,6.8,0.43,1.27,0
3,3017,11288,26,1,4,2,23,6.9,0.17,1.42,0
3,3017,11307,23,4,0,0,28,19.2,1.72,3.66,1
3,3017,11329,25,2,1,3,19,28.6,2.34,3.1,1
3,3017,11337,52,3,23,10,153,4.5,2.12,4.76,0
3,3017,11344,25,3,0,1,35,9.7,0.13,3.26,1
3,3017,11363,22,4,0,1,31,22.8,1.31,5.75,1
3,3017,11423,38,3,8,8,35,26.4,3.78,5.46,0
3,3017,11461,42,2,16,11,49,9.7,0.56,4.2,0
3,3017,11466,52,1,5,18,36,9.8,1.4,2.13,0
3,3017,11472,30,1,2,3,18,3,0.07,0.47,1
3,3017,11475,59,4,20,16,144,3.4,2.49,2.4,0
3,3017,11512,34,3,5,5,44,5.6,0.74,1.72,0
3,3017,11557,33,1,11,6,52,9.1,0.95,3.79,1
3,3017,11569,26,3,2,3,21,8.2,0.54,1.18,0
3,3017,11628,25,3,2,1,26,11.9,1.24,1.86,1
3,3017,11652,19,2,0,0,43,21.2,3.43,5.69,1
3,3017,11661,41,5,7,12,47,5.2,1.64,0.81,0
3,3017,11690,36,2,2,9,27,9.3,0.74,1.78,1
3,3017,11703,20,2,0,0,21,10.2,0.55,1.59,0
3,3017,11712,35,2,6,5,26,2.5,0.45,0.2,0
3,3017,11755,33,4,3,4,34,1.2,0.23,0.18,0
3,3017,11783,38,4,0,12,37,2,0.1,0.64,0
3,3017,11809,40,2,6,6,36,6.6,1.58,0.8,1
3,3017,11852,39,2,7,6,82,17.4,3.71,10.56,0
3,3017,11859,18,2,0,0,12,8.2,0.15,0.83,1
3,3017,11860,66,1,40,17,149,13.1,7.79,11.73,0
3,3017,11897,43,2,6,6,40,6.6,0.5,2.14,0
3,3017,11916,39,4,14,8,46,6.5,0.5,2.49,0
3,3017,11941,27,3,5,4,27,10.5,0.99,1.84,0
3,3017,11964,47,3,17,13,111,8.8,5.73,4.03,0
3,3017,11973,25,1,9,3,25,23.5,0.34,5.53,1
3,3017,11995,57,3,7,14,43,20.8,2.5,6.45,1
3,3017,12099,69,1,6,24,60,18.6,1.27,9.89,0
